,Unnamed: 0,reaction,solved,input_reaction,rules,solved_by,confidence,R-ids,datasets,correct_reaction,wrong_reactions
10,10,CCOC(=O)c1cccnc1.CC#N>>O=C(CC#N)c1cccnc1.CCO,True,CCOC(=O)c1cccnc1.CC#N>>O=C(CC#N)c1cccnc1,[],mcs-based,0.9980000257492064,['Jaworski_283'],['Jaworski'],CCOC(=O)c1cccnc1.CC#N>>O=C(CC#N)c1cccnc1.CCO,[]
11,11,COC(=O)C(Cc1ccc(Cl)c(Cl)c1)NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12.O>>OC(=O)C(Cc1ccc(Cl)c(Cl)c1)NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12.CO,True,COC(=O)C(Cc1ccc(Cl)c(Cl)c1)NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12.O>>OC(=O)C(Cc1ccc(Cl)c(Cl)c1)NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12,['default single bond'],mcs-based,0.9829999804496764,['Jaworski_226'],['Jaworski'],[OH2:1].[O:28]=[S:27](=[O:29])([NH:26][C:25]=1[C:19]([C:17](=[O:18])[NH:16][CH:6]([C:4]([O:3][CH3:2])=[O:5])[CH2:7][C:8]2=[CH:9][CH:10]=[C:11]([C:13]([Cl:14])=[CH:15]2)[Cl:12])=[CH:20][CH:21]=[C:22]([Cl:23])[CH:24]=1)[C:30]3=[CH:31][CH:32]=[CH:33][C:34]4=[N:35][S:36][N:37]=[C:38]34>>[O:28]=[S:27](=[O:29])([NH:26][C:25]=1[C:19](=[CH:20][CH:21]=[C:22]([Cl:23])[CH:24]=1)[C:17](=[O:18])[NH:16][CH:6]([CH2:7][C:8]=2[CH:15]=[C:13]([Cl:14])[C:11](=[CH:10][CH:9]=2)[Cl:12])[C:4]([OH:1])=[O:5])[C:30]3=[CH:31][CH:32]=[CH:33][C:34]4=[N:35][S:36][N:37]=[C:38]34.O[CH3:2],[]
12,12,O.COC(=O)CC1Nc2ccc(cc2CN(C)C1=O)C(=O)NCc1cc2ccccc2[nH]1>>CN1Cc2cc(ccc2NC(CC(O)=O)C1=O)C(=O)NCc1cc2ccccc2[nH]1.CO,True,O.COC(=O)CC1Nc2ccc(cc2CN(C)C1=O)C(=O)NCc1cc2ccccc2[nH]1>>CN1Cc2cc(ccc2NC(CC(O)=O)C1=O)C(=O)NCc1cc2ccccc2[nH]1,['default single bond'],mcs-based,0.9829999804496764,['Jaworski_123'],['Jaworski'],[OH2:1].[O:5]=[C:4]([CH2:6][CH:7]1[C:18](=[O:19])[N:16]([CH3:17])[CH2:15][C:14]2=[CH:13][C:12]([C:20]([NH:22][CH2:23][C:24]=3[NH:32][C:31]4=[CH:30][CH:29]=[CH:28][CH:27]=[C:26]4[CH:25]=3)=[O:21])=[CH:11][CH:10]=[C:9]2[NH:8]1)[O:3][CH3:2]>>[O:5]=[C:4]([CH2:6][CH:7]1[C:18](=[O:19])[N:16]([CH3:17])[CH2:15][C:14]=2[CH:13]=[C:12]([C:20]([NH:22][CH2:23][C:24]=3[NH:32][C:31]4=[CH:30][CH:29]=[CH:28][CH:27]=[C:26]4[CH:25]=3)=[O:21])[CH:11]=[CH:10][C:9]=2[NH:8]1)[OH:1].O[CH3:2],[]
13,13,CCOC(C)(OCC)OCC.NC12CC3CC(CC(C3)C1)C2.NC1CCCCC1.[O].[O]>>CC(NC12CC3CC(CC(C3)C1)C2)=NC1CCCCC1.CCOC(C)(O)OCC.O.O,True,CCOC(C)(OCC)OCC.NC12CC3CC(CC(C3)C1)C2.NC1CCCCC1>>CC(NC12CC3CC(CC(C3)C1)C2)=NC1CCCCC1,[],mcs-based,0.0040000001899898,['Jaworski_355'],['Jaworski'],,['CCOC(C)(OCC)OCC.NC12CC3CC(CC(C3)C1)C2.NC1CCCCC1>>CC(NC12CC3CC(CC(C3)C1)C2)=NC1CCCCC1.CCOC(C)(O)OCC']
14,14,CCOC(=O)c1cn(C2CC2)c2c(F)c(F)c(F)c(C)c2c1=O.O>>Cc1c(F)c(F)c(F)c2n(cc(C(O)=O)c(=O)c12)C1CC1.CCO,True,CCOC(=O)c1cn(C2CC2)c2c(F)c(F)c(F)c(C)c2c1=O.O>>Cc1c(F)c(F)c(F)c2n(cc(C(O)=O)c(=O)c12)C1CC1,['default single bond'],mcs-based,0.9980000257492064,['Jaworski_124'],['Jaworski'],[CH2:11]1[CH2:12][CH:10]1[N:9]2[C:13]3=[C:14]([F:15])[C:16]([F:17])=[C:18]([F:19])[C:20]([CH3:21])=[C:22]3[C:23]([C:7]([C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:8]2)=[O:24].[OH2:1]>>[CH2:11]1[CH2:12][CH:10]1[N:9]2[C:13]=3[C:22](=[C:20]([CH3:21])[C:18](=[C:16]([F:17])[C:14]=3[F:15])[F:19])[C:23]([C:7]([C:5](=[O:6])[OH:1])=[CH:8]2)=[O:24].O[CH2:3][CH3:2],[]
15,15,COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C1OC(C)(C)OC1=O.NO.O>>COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C(O)C(=O)NO.CC(C)(O)O,True,COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C1OC(C)(C)OC1=O.NO>>COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C(O)C(=O)NO,"['append O when next to O or N', 'default single bond']",mcs-based,0.9769999980926514,['Jaworski_320'],['Jaworski'],COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C1OC(C)(C)OC1=O.NO.O>>COc1ccc(cc1)N1CCN(CC1)C(=O)C(CC(C)C)C(O)C(=O)NO.CC(C)(O)O,[]
16,16,[C:9]([C:10]1=[CH:11][CH:12]=[CH:13][C:14](=[CH:16]1)[Cl:15])(=[O:8])[O:17][OH:18].[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH2:2][OH:1]>>[CH:6]1([O:1][CH2:2][C:3]([CH:4]=[CH:5]1)=[O:7])[OH:18],False,[C:9]([C:10]1=[CH:11][CH:12]=[CH:13][C:14](=[CH:16]1)[Cl:15])(=[O:8])[O:17][OH:18].[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH2:2][OH:1]>>[CH:6]1([O:1][CH2:2][C:3]([CH:4]=[CH:5]1)=[O:7])[OH:18],,,,['golden_dataset_34'],['golden_dataset'],,['[C:9]([C:10]1=[CH:11][CH:12]=[CH:13][C:14](=[CH:16]1)[Cl:15])(=[O:8])[O:17][OH:18].[CH:6]1=[CH:5][CH:4]=[C:3]([O:7]1)[CH2:2][OH:1]>>[CH:6]1([O:1][CH2:2][C:3]([CH:4]=[CH:5]1)=[O:7])[OH:18]']
17,17,CCOC(=O)c1ccccc1CCc1ccc2oc(cc2c1)-c1nc(cs1)C(C)(C)C.O>>CC(C)(C)c1csc(n1)-c1cc2cc(CCc3ccccc3C(O)=O)ccc2o1.CCO,True,CCOC(=O)c1ccccc1CCc1ccc2oc(cc2c1)-c1nc(cs1)C(C)(C)C.O>>CC(C)(C)c1csc(n1)-c1cc2cc(CCc3ccccc3C(O)=O)ccc2o1,['default single bond'],mcs-based,0.9990000128746032,['Jaworski_131'],['Jaworski'],[CH3:30][C:29]([CH3:32])([CH3:31])[C:26]1=[CH:27][S:28][C:24]([C:20]2=[CH:21][C:22]3=[CH:23][C:15](=[CH:16][CH:17]=[C:18]3[O:19]2)[CH2:14][CH2:13][C:12]4=[CH:11][CH:10]=[CH:9][CH:8]=[C:7]4[C:5](=[O:6])[O:4][CH2:3][CH3:2])=[N:25]1.[OH2:1]>>[CH3:30][C:29]([CH3:32])([CH3:31])[C:26]1=[CH:27][S:28][C:24]([C:20]2=[CH:21][C:22]=3[C:18](=[CH:17][CH:16]=[C:15]([CH2:14][CH2:13][C:12]4=[C:7]([CH:8]=[CH:9][CH:10]=[CH:11]4)[C:5]([OH:1])=[O:6])[CH:23]=3)[O:19]2)=[N:25]1.O[CH2:3][CH3:2],[]
18,18,[CH3:9][C:8]1([CH3:10])[O:7][CH:6]([CH:12]([CH:13]=[CH:14][CH2:15][CH2:16][C:17]([O:19][CH3:20])=[O:18])[O:11]1)[C:4](=[O:5])[NH:3][O:2][CH3:1].[O]>>[CH3:9][C:8]1([CH3:10])[O:7][CH:6]2[CH:12]([O:11]1)[CH:13]([N:3]([O:2][CH3:1])[C:4]2=[O:5])[CH:14]3[CH2:15][CH2:16][C:17](=[O:18])[O:19]3.O[CH3:20],True,[CH3:9][C:8]1([CH3:10])[O:7][CH:6]([CH:12]([CH:13]=[CH:14][CH2:15][CH2:16][C:17]([O:19][CH3:20])=[O:18])[O:11]1)[C:4](=[O:5])[NH:3][O:2][CH3:1]>>[CH3:9][C:8]1([CH3:10])[O:7][CH:6]2[CH:12]([O:11]1)[CH:13]([N:3]([O:2][CH3:1])[C:4]2=[O:5])[CH:14]3[CH2:15][CH2:16][C:17](=[O:18])[O:19]3,"['C-O Ester break', 'default single bond']",mcs-based,0.9300000071525574,['golden_dataset_36'],['golden_dataset'],[CH3:9][C:8]1([CH3:10])[O:7][CH:6]([CH:12]([CH:13]=[CH:14][CH2:15][CH2:16][C:17]([O:19][CH3:20])=[O:18])[O:11]1)[C:4](=[O:5])[NH:3][O:2][CH3:1].[O]>>[CH3:9][C:8]1([CH3:10])[O:7][CH:6]2[CH:12]([O:11]1)[CH:13]([N:3]([O:2][CH3:1])[C:4]2=[O:5])[CH:14]3[CH2:15][CH2:16][C:17](=[O:18])[O:19]3.O[CH3:20],[]
19,19,COC(=O)CCCCCCCn1c2cc(ccc2oc1=O)[N+]([O-])=O.O>>OC(=O)CCCCCCCn1c2cc(ccc2oc1=O)[N+]([O-])=O.CO,True,COC(=O)CCCCCCCn1c2cc(ccc2oc1=O)[N+]([O-])=O.O>>OC(=O)CCCCCCCn1c2cc(ccc2oc1=O)[N+]([O-])=O,['default single bond'],mcs-based,0.9879999756813048,['Jaworski_256'],['Jaworski'],[OH2:1].[O:22]=[C:21]1[O:20][C:19]=2[CH:18]=[CH:17][C:16]([N+:23]([O-:24])=[O:25])=[CH:15][C:14]=2[N:13]1[CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][C:4](=[O:5])[O:3][CH3:2]>>[O:5]=[C:4]([OH:1])[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][N:13]1[C:14]2=[C:19]([CH:18]=[CH:17][C:16]([N+:23]([O-:24])=[O:25])=[CH:15]2)[O:20][C:21]1=[O:22].O[CH3:2],[]
20,20,[CH2:21]=[CH:20][CH2:19][I:18].[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH3:9])=[O:12].[O]>>[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH2:19][CH:20]=[CH2:21])=[O:12].O[CH2:19][I:18],True,[CH2:21]=[CH:20][CH2:19][I:18].[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH3:9])=[O:12]>>[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH2:19][CH:20]=[CH2:21])=[O:12],"['append O to C-C bond', 'default single bond']",mcs-based,0.1059999987483024,['golden_dataset_42'],['golden_dataset'],,['[CH2:21]=[CH:20][CH2:19][I:18].[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH3:9])=[O:12]>>[CH3:15][C:14]([CH3:16])([CH3:17])[O:13][C:11]([NH:10][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:6][CH2:7][S:8][CH2:19][CH:20]=[CH2:21])=[O:12].O[CH2:19][I:18]']
